Date,Open,High,Low,Close,Volume,Market Cap
3-Jun-2022,308.19,309.86,293.86,298.4,1115211127,48721504699
2-Jun-2022,300.47,309.04,298.67,308.1,1228180850,50305926892
1-Jun-2022,320.47,323.89,297.97,300.5,1763624947,49065391381
31-May-2022,321.72,323.7,314.28,320.49,1711532960,52327838988
30-May-2022,305.94,323.26,304.34,321.75,2064357375,52534837419
29-May-2022,307.75,307.94,299.31,305.98,1208835000,49958681902
28-May-2022,302.44,309.21,297.72,307.82,1471633413,50259172863
27-May-2022,304.79,308.86,292.14,300.97,2593113824,49141803580
26-May-2022,325.76,330.89,298.79,304.96,2686414043,49793586182
25-May-2022,328.2,336.67,324.55,325.73,2008481372,53184993616
24-May-2022,316.85,329.82,313.55,328.19,2002782969,53585763496
23-May-2022,319.52,336.31,316.35,316.76,2228144099,51719705364
22-May-2022,312.49,322.86,311.83,319.61,1604297406,52184792531
21-May-2022,302.37,313.66,300.13,312.47,1318736979,51018508605
20-May-2022,306.78,315.27,294.76,302.36,1756670714,49368297712
19-May-2022,287.45,307.96,287.21,306.79,1646882950,50091997950
18-May-2022,305.99,307.71,287.44,287.44,1520090732,46932136434
17-May-2022,297.7,310.19,296.96,305.96,1584497815,49956785094
16-May-2022,312.08,312.14,290.46,297.71,1754184298,48609208955
15-May-2022,297.4,312.18,286.64,312.01,1611088257,50943678221
14-May-2022,290.62,298.8,272.65,297.39,1884570404,48556546861
13-May-2022,269.14,312.69,265.71,290.58,2774121165,47445706445
12-May-2022,269.89,283.48,216.36,269.41,4739990237,43988002573
11-May-2022,319.12,322.77,262.62,269.96,3870618668,44078705120
10-May-2022,298.82,332.44,290.59,319.33,3210603809,52138741397
9-May-2022,355.38,358.95,299.35,299.35,2943374129,48876789614
8-May-2022,365.73,366.51,351.14,355.4,1875845651,58028429299
7-May-2022,379.29,380.39,361.2,365.68,1527960119,59707794715
6-May-2022,378.76,382.68,371.97,379.3,1834770716,61931654721
5-May-2022,402.47,412.4,372.55,378.77,2389487319,61845010684
4-May-2022,383.48,402.86,383.43,402.5,1714496792,65719415309
3-May-2022,389.63,391.75,380.35,383.48,1295877765,62612768113
2-May-2022,390.26,392.22,382.77,389.67,1388077917,63624245328
1-May-2022,377.77,391.08,377.29,390.28,1553846706,63724060207
30-Apr-2022,393,399.59,377.77,377.77,1467605770,61680787861
29-Apr-2022,406.64,410.18,390.54,393.06,1928209754,64177999275
28-Apr-2022,391.44,408.23,388.88,406.72,2116381172,66407717794
27-Apr-2022,385.56,394.46,384.08,391.45,1512587369,63914091442
26-Apr-2022,404.27,407.08,382.08,385.48,1671963898,62940507764
25-Apr-2022,399.13,404.87,383.19,404.35,1910707893,66021090788
24-Apr-2022,401.53,405.43,398.35,399.11,1222468479,65164719261
23-Apr-2022,406.99,407.9,399.28,401.65,1354484386,65580599125
22-Apr-2022,404.97,413.28,404.11,406.99,1895749713,66451690521
21-Apr-2022,418.32,425.47,402.08,405.02,2190281843,66130679968
20-Apr-2022,422.36,430.98,415.73,418.35,2035166767,68307615205
19-Apr-2022,417.01,424.27,415.1,422.39,1854452731,68966079720
18-Apr-2022,407.43,417.95,397.15,416.97,1925668122,68848474348
17-Apr-2022,417.41,417.88,406.17,407.38,1088306780,67264889167
16-Apr-2022,417.29,418.66,411.91,417.48,1022481382,68932688179
15-Apr-2022,414.67,419.8,413.27,417.29,1242920077,68902190654
14-Apr-2022,423.07,426.81,412.05,414.66,1615484732,68467932859
13-Apr-2022,413.81,424.34,411.06,423.13,1932053164,69865882647
12-Apr-2022,394.29,416.64,393.17,413.87,2140526232,68337523387
11-Apr-2022,418.66,419.49,392.11,394.09,2192782724,65070349746
10-Apr-2022,427.15,429.36,418.59,418.59,1410282903,69116334131
9-Apr-2022,421.67,428.02,420.27,427.15,1399108286,70530128696
8-Apr-2022,436.93,440.64,419.43,421.68,1951923760,69625982492
7-Apr-2022,420.18,438.29,417.6,436.8,2125042415,72122470078
6-Apr-2022,445,445.03,418.88,420.15,2323241738,69373208035
5-Apr-2022,447.63,459.81,445.04,445.17,2268650039,73505457939
4-Apr-2022,450.26,450.43,434.18,447.52,2248856403,73893866574
3-Apr-2022,436.87,455.23,432.82,450.35,2128734028,74360146489
2-Apr-2022,446.84,453.56,436.78,436.96,2272901729,72148650722
1-Apr-2022,429.12,446.8,414.75,446.6,2718206274,73741849989
31-Mar-2022,442.66,451.96,424.95,428.92,2632534284,70821236650
30-Mar-2022,434.43,448.95,427.69,442.68,2181737151,73094686974
29-Mar-2022,430.07,441.51,430.07,434.51,1987696098,71744167467
28-Mar-2022,430.55,440.73,428.57,430.39,2128699500,71064748023
27-Mar-2022,415.93,431.03,412.38,430.5,1499505093,71083302849
26-Mar-2022,410.82,416.32,407.98,415.92,1082240527,68675332555
25-Mar-2022,414.15,421.15,406.3,410.81,1678265707,67831809808
24-Mar-2022,408.55,416.51,406.01,414.13,1831451218,68379307292
23-Mar-2022,404.33,411.03,398.86,408.61,1645651129,67468320449
22-Mar-2022,396.36,409.64,395.58,404.31,1795119554,66759172804
21-Mar-2022,390.74,398.96,386.56,396.45,1657341491,65460178435
20-Mar-2022,399.92,400.61,386.77,390.77,1334193471,64522408664
19-Mar-2022,397.56,406,395.41,399.85,1532550954,66022524778
18-Mar-2022,391.78,399.92,384.25,397.65,1666543771,65657938330
17-Mar-2022,385.46,392.87,382.16,391.82,1635657390,64696833098
16-Mar-2022,371.54,386.36,368.48,385.53,1788844135,63657170377
15-Mar-2022,373.47,374.33,362.68,371.63,1360640456,61362152715
14-Mar-2022,361.83,373.61,360.3,373.47,1455465550,61665521276
13-Mar-2022,372.61,376.93,361.15,361.85,1242011950,59747472766
12-Mar-2022,372.19,379.2,372.13,372.73,1211417865,61544034492
11-Mar-2022,372.2,379.57,365.61,372.18,1550840418,61453823267
10-Mar-2022,393.48,394.4,364.09,372.16,2105808203,61449692684
9-Mar-2022,382.04,402.03,381.84,393.56,2425559108,64982649307
8-Mar-2022,381.25,387.63,377.71,381.96,1684540144,63067760640
7-Mar-2022,375.07,384.42,364.43,381.34,2058321705,62966388746
6-Mar-2022,384.91,387.16,373.02,375.01,1305295273,61920633563
5-Mar-2022,374.44,386.84,368.18,384.87,1321262776,63549043023
4-Mar-2022,402.58,402.92,372.87,374.28,1740563403,61800046682
3-Mar-2022,409.03,412.8,397.91,402.55,1598018507,66467864024
2-Mar-2022,408.52,414.91,404.53,409,2045870796,67532807578
1-Mar-2022,395.62,418.49,391.33,408.48,2885318336,67447273336
28-Feb-2022,360.38,396.46,356.62,395.61,1868349380,65322240557
27-Feb-2022,373.6,380.96,359.63,360.53,1600855952,59529719165
26-Feb-2022,374.89,385.21,371.48,373.64,1319208551,61694020170
25-Feb-2022,361.22,376.8,357.37,374.91,1839035023,61904739647
24-Feb-2022,366.35,368.17,324.48,361.23,2972951900,59645892983
23-Feb-2022,374.3,383.25,366.54,366.54,1644707704,60521812716
22-Feb-2022,356.73,374.86,350.15,374.31,2037210077,61804434179
21-Feb-2022,380.74,393.62,356.18,356.66,2164511484,58890751692
20-Feb-2022,400,400.13,376.01,380.83,1431745519,62880741279
19-Feb-2022,399.52,406.38,393.93,400.04,1192395484,66053898767
18-Feb-2022,402.65,410.94,393.82,399.57,1554511893,65975568167
